M,n,W,U,D,L,Lock-Free Rate,Home-Queue Rate,Speedup
2000,1,25,t,8,p,1683.014,1742.101,0.96608
2000,1,25,t,8,a,1683.014,1816.979,0.92627
2000,1,50,t,8,p,1716.799,1688.479,1.01677
2000,1,50,t,8,a,1716.799,1744.411,0.98417
2000,1,100,t,8,p,1507.901,1448.358,1.04111
2000,1,100,t,8,a,1507.901,1443.149,1.04487
2000,1,200,t,8,p,1129.723,1136.491,0.99404
2000,1,200,t,8,a,1129.723,1081.469,1.04462
2000,1,400,t,8,p,726.33,728.651,0.99681
2000,1,400,t,8,a,726.33,703.694,1.03217
2000,1,800,t,8,p,413.006,420.7025,0.98171
2000,1,800,t,8,a,413.006,413.6615,0.99842
